id,xmid,ymid,radius,ubulk,HtAvg
112,3.75e-06,8.44374768689828e-05,2.5e-06,0.000157031879008953,0.22446271209263
113,3.75e-06,9.74278579257494e-05,2.5e-06,0.000117524046140748,0.337159758412997
114,3.75e-06,0.000110418238982516,2.5e-06,0.000117524046140749,0.337625448687048
115,3.75e-06,0.000123408620039283,2.5e-06,8.21621106878242e-05,0.496891522412524
116,3.75e-06,0.000136399001096049,2.5e-06,8.21621106878243e-05,0.496891522412524
117,3.75e-06,0.000149389382152816,2.5e-06,5.11502782675707e-05,0.679442109840556
118,3.75e-06,0.000162379763209582,2.5e-06,5.11502782675707e-05,0.682236251484862
119,3.75e-06,0.000175370144266349,2.5e-06,3.65490663849742e-05,0.830791448907162
120,3.75e-06,0.000188360525323115,2.5e-06,3.65490663849738e-05,0.825668855892601
121,3.75e-06,0.000201350906379882,2.5e-06,2.73573515354331e-05,0.912752937140156
122,3.75e-06,0.000214341287436649,2.5e-06,2.73573515354323e-05,0.917409839880667
123,3.75e-06,0.000227331668493415,2.5e-06,1.4450756009001e-05,0.944419875775632
124,3.75e-06,0.000240322049550182,2.5e-06,1.4450756009001e-05,0.943488495227531
125,2.625e-05,6.49519052838329e-06,2.5e-06,-0.0002419899212384,0.0684564702855115
126,2.625e-05,1.94855715851499e-05,2.5e-06,0.000266076059784445,0.551842974750554
127,2.625e-05,3.24759526419164e-05,2.5e-06,0.000101392846561882,0.205369410856535
128,2.625e-05,4.5466333698683e-05,2.5e-06,0.000331238503027051,0.065662328641205
129,2.625e-05,5.84567147554496e-05,2.5e-06,0.000146306634611654,0.0251472747987593
130,2.625e-05,7.14470958122162e-05,2.5e-06,0.000251363118114694,0.0153677790436863
131,2.625e-05,8.44374768689828e-05,2.5e-06,0.000141131581618805,0.0274757261690148
132,2.625e-05,9.74278579257494e-05,2.5e-06,0.000180639414487014,0.0195589915101461
133,2.625e-05,0.000110418238982516,2.5e-06,0.000112678180415353,0.0312012483614236
134,2.625e-05,0.000123408620039283,2.5e-06,0.000148040115868279,0.0298041775392703
135,2.625e-05,0.000136399001096049,2.5e-06,9.13314192254423e-05,0.0465690274051098
136,2.625e-05,0.000149389382152816,2.5e-06,0.000122343251645694,0.0628681869968984
137,2.625e-05,0.000162379763209582,2.5e-06,7.27303088402151e-05,0.115025497690622
138,2.625e-05,0.000175370144266349,2.5e-06,8.73315207228091e-05,0.160663144547629
139,2.625e-05,0.000188360525323115,2.5e-06,4.29840464303561e-05,0.189070251264747
140,2.625e-05,0.000201350906379882,2.5e-06,5.2175761279895e-05,0.295713324022448
141,2.625e-05,0.000214341287436649,2.5e-06,2.57207840366804e-05,0.052157310693723
142,2.625e-05,0.000227331668493415,2.5e-06,3.86273795631095e-05,0.285468137993325
143,2.625e-05,0.000240322049550182,2.5e-06,2.86375664900579e-06,0
144,2.625e-05,0.000253312430606948,2.5e-06,1.73145126580059e-05,0.648240861479129
145,4.875e-05,6.49519052838329e-06,2.5e-06,0.000241989921238397,0.0689221605595626
146,4.875e-05,1.94855715851499e-05,2.5e-06,-9.66504547793171e-06,0.705520765187417
147,4.875e-05,3.24759526419164e-05,2.5e-06,0.000155018167744631,0.791673465886871
148,4.875e-05,4.5466333698683e-05,2.5e-06,3.03251966780258e-05,0.603068904896175
149,4.875e-05,5.84567147554496e-05,2.5e-06,0.000215257065093421,0.184413348524235
150,4.875e-05,7.14470958122162e-05,2.5e-06,0.00010771235571342,0.0107108763031753
151,4.875e-05,8.44374768689828e-05,2.5e-06,0.000217943892209308,0.00605397356266428
152,4.875e-05,9.74278579257494e-05,2.5e-06,9.90333197412453e-05,0
153,4.875e-05,0.000110418238982516,2.5e-06,0.000166994553812905,0
154,4.875e-05,0.000123408620039283,2.5e-06,8.24712050419081e-05,0
155,4.875e-05,0.000136399001096049,2.5e-06,0.000139179901684749,0
156,4.875e-05,0.000149389382152816,2.5e-06,6.73990153490239e-05,0
157,4.875e-05,0.000162379763209582,2.5e-06,0.0001170119581545,0
158,4.875e-05,0.000175370144266349,2.5e-06,4.95605688779172e-05,0
159,4.875e-05,0.000188360525323115,2.5e-06,9.39080431703731e-05,0.0554171426120808
160,4.875e-05,0.000201350906379882,2.5e-06,3.08605800173501e-05,0
161,4.875e-05,0.000214341287436649,2.5e-06,5.73155572605624e-05,0.247747225795185
162,4.875e-05,0.000227331668493415,2.5e-06,4.02597478199251e-06,0
163,4.875e-05,0.000240322049550182,2.5e-06,3.97895976960972e-05,0.294316253200296
164,4.875e-05,0.000253312430606948,2.5e-06,-1.73145126580051e-05,0.665937091893072
165,7.125e-05,6.49519052838329e-06,2.5e-06,-0.000131293582977074,0.0479660982272631
166,7.125e-05,1.94855715851499e-05,2.5e-06,0.000120361383739259,0.1695112597546
167,7.125e-05,3.24759526419164e-05,2.5e-06,-2.33273665021853e-05,0.828462997536908
168,7.125e-05,4.5466333698683e-05,2.5e-06,0.000101365604564419,0.845227847402747
169,7.125e-05,5.84567147554496e-05,2.5e-06,9.35734250730711e-06,0.715765951216541
170,7.125e-05,7.14470958122162e-05,2.5e-06,0.000116902051887307,0.386522927462413
171,7.125e-05,8.44374768689828e-05,2.5e-06,4.93481794112431e-05,0.0819614882329933
172,7.125e-05,9.74278579257494e-05,2.5e-06,0.000168258751879305,0.0363238413759857
173,7.125e-05,0.000110418238982516,2.5e-06,6.33818979777858e-05,0.00279414164430659
174,7.125e-05,0.000123408620039283,2.5e-06,0.000147905246748789,0.00139707082215329
175,7.125e-05,0.000136399001096049,2.5e-06,6.10033975425905e-05,0
176,7.125e-05,0.000149389382152816,2.5e-06,0.000132784283878318,0
177,7.125e-05,0.000162379763209582,2.5e-06,4.72971925660648e-05,0
178,7.125e-05,0.000175370144266349,2.5e-06,0.000114748581842648,0
179,7.125e-05,0.000188360525323115,2.5e-06,2.431610408208e-05,0
